  n  |                  title                   | year | rt  | _ | rt_is_matched | t  |                                           gantt_days                                            
  79 | British Sounds (See You at Mao)          |      |     |   | t             |    |   0      7
  80 | The Scars of Dracula                     | 1970 |  20 |   | f             |    |    1
  81 | Blood From the Mummy's Tomb              |      |     |   | t             |    |    1
  82 | Dr. Jekyll and Sister Hyde               | 1972 |     |   | f             |    |    1
  83 | OUT on Stage                             | 2018 |     |   | t             |  3 |    1
  84 | In the Soup                              | 1992 |  92 | o | t             |    |    1------------------- ----26
  85 | The Shining                              | 1980 |  86 | O | t             |    |    1----     -12
  86 | Black Panther                            | 2018 |  97 | O | t             |  7 |    1----                             ------  -----------------------------------------------89
  87 | The Sandlot: 25th Anniversary            | 2018 |  56 | * | t             |  3 |    1 3
  88 | Wanda the Wonderful                      |      |     |   | f             |    |    1 -4
  89 | Wind From the East                       |      |     |   | t             |    |    1  - 6
  90 | McCabe & Mrs. Miller                     | 1971 |  89 | O | t             |    |    1  -     -11
  91 | A Film Like Any Other                    |      |     |   | f             |    |    1     7
  92 | Let the Sunshine In                      | 2018 |  86 | O | t             |  2 |    1                         --------------  ----------------------------------------------88
  93 | Vampire Circus                           | 1972 |  80 | o | t             |    |     2
  94 | Twins of Evil                            | 1972 |  78 | o | t             |    |     2
  95 | School Daze                              | 1988 |  62 | o | t             |    |     2
  96 | Bolshoi Ballet: Swan Lake (Encore)       | 2018 |     |   | t             |  2 |     2
  97 | Fast Times at Ridgemont High             | 1982 |  78 | O | t             |    |     2--5
  98 | Moon Zero Two                            |      |     |   | f             |    |     2 4
  99 | Struggles in Italy                       | 1971 |     |   | f             |    |      3
 100 | When Dinosaurs Ruled the Earth           | 1971 |     |   | f             |    |      3
 101 | The Goonies                              | 1985 |  70 | o | t             |    |      34
 102 | Dr. Dolittle                             | 1998 |  43 | * | t             |    |      34
 103 | Vladimir and Rosa                        | 1971 |     |   | f             |    |      34
 104 | Soorma                                   |      |  83 | o | t             |    |      3-- -----12
 105 | Boom for Real: The Late Teenage Years of |      |  88 | O | t             |    |      3--                     --------------  ----------- --------------------74
 106 | Tully                                    | 2018 |  87 | O | t             | 10 |      3--                            -------------------------------------------------82
 107 | Fear in the Night                        | 1972 |     |   | t             |    |      3 5
 108 | Prince of the City                       | 1981 |  91 | o | t             |    |      3  6
 109 | Forgetting Sarah Marshall                | 2008 |  85 | O | t             |    |      3  6
 110 | Taste the Blood of Dracula               |      |  67 | o | t             |    |       4
 111 | The Spook Who Sat by the Door            | 1973 |  67 | o | t             |    |       4
 112 | The Horror of Frankenstein               | 1970 |  56 | * | t             |    |       4
 113 | The Vampire Lovers                       | 1970 |  56 | * | t             |    |       4
 114 | Fargo                                    | 1996 |  93 | O | t             |    |       45
 115 | The Blob                                 | 1958 |  68 | o | t             |    |       45
 116 | Blue Velvet                              | 2001 |  94 | O | t             |    |       4-            -19
 117 | Serpico                                  | 1973 |  90 | o | t             |    |       4 6
 118 | Dracula Has Risen From the Grave         | 1969 |  80 | o | t             |    |        5
 119 | Frankenstein Must Be Destroyed           | 1969 |  50 | * | t             |    |        5
 120 | Africa: The Serengeti                    | 1994 | 100 | o | t             |    |         6
 121 | Jim Gaffigan: Noble Ape                  |      | 100 | o | t             |    |         6
 122 | Grease                                   | 1978 |  75 | O | t             |    |         6
 123 | Variety                                  | 1983 |     |   | f             |    |         6
 124 | The Seventh Victim                       | 1943 |  92 | o | t             |    |         67
 125 | Sing                                     | 2016 |  72 | o | t             |    |         67
 126 | Shock and Awe                            | 2018 |  36 | * | t             |  2 |         6---10
 127 | Siberia                                  | 2018 |   9 | * | t             |    |         6----11
 128 | Path of Blood                            |      |  81 | o | t             |    |         6-----12
 129 | The Night Eats the World                 | 2018 |  74 | o | t             |    |         6-----12
 130 | Fireworks (Premiere Event)               | 2018 |  43 | * | t             |  4 |         6---------------22
 131 | Tag                                      | 2018 |  54 | * | t             | 10 |         6----------------------------------41
 132 | Gotti                                    | 2018 |   0 | * | t             |  7 |         6----------------------------------41
 133 | Hearts Beat Loud                         |      |  90 | O | t             |  5 |         6-----------------------------------------48
 134 | Disobedience                             | 2018 |  84 | O | t             | 10 |         6-----------------------------------------------------------------------------------89
 135 | Adrift                                   | 2018 |  72 | o | t             | 10 |         6------         ---------------------------------55
 136 | The Devil's Doorway                      | 2018 |  67 | o | t             |    |         6--- -12
 137 | A Single Girl                            | 1995 |  75 | o | t             |    |         6---  12
 138 | Working Girls                            |      |     |   | t             |    |         6 8
 139 | The Citizen (Az állampolgár)             |      |  83 | o | t             |    |         6 -9
 140 | Dazed and Confused                       | 1993 |  93 | O | t             |    |         6          --19
 141 | Female Trouble                           | 1975 |  80 | o | t             |    |          7
 142 | Met Summer Encore: Turandot              | 2018 |     |   | f             |  3 |          7
 143 | Kiki's Delivery Service                  | 1998 |  97 | o | t             |    |          78
 144 | Animal World                             | 2018 |  67 | o | t             |    |          7------------ -----26
 145 | Big 30th Anniversary                     | 2018 |  97 | O | t             |  6 |          7  10
 146 | Crossing Delancey                        | 1988 |  90 | o | t             |    |          7    12
 147 | Ms. 45                                   | 2013 |  89 | o | t             |    |          7            20
 148 | Overlord                                 |      |  93 | o | t             |    |           8 10
 149 | It Should Happen to You                  | 1954 | 100 | o | t             |    |           8        17
 150 | Mixed Blood                              | 1984 |     |   | t             |    |           8          19
 151 | Bolshoi Ballet: Romeo and Juliet (Encore | 2018 |     |   | t             |  2 |            9
 152 | One Deadly Summer                        |      |     |   | f             |    |            9
 153 | Such Good Friends                        |      |     |   | f             |    |            9
 154 | Morvern Callar                           | 2002 |  83 | O | t             |    |            9 11
 155 | Rosemary's Baby                          | 1968 |  99 | O | t             |    |            9  12
 156 | Daisy Kenyon                             |      | 100 | o | t             |    |            9        18
 157 | Heaven's Gate                            | 1981 |  57 | * | t             |    |             10
 158 | Model                                    |      |     |   | f             |    |             10
 159 | News from Home                           |      |     |   | f             |    |             10
 160 | Survival in New York                     |      |     |   | t             |    |             10
 161 | Tally Brown, New York                    | 1979 |     |   | f             |    |             10
 162 | The BFG                                  | 2016 |  75 | O | t             |    |             1011
 163 | Blank Check                              | 1994 |  11 | * | t             |    |             1011
 164 | Mean Girls                               | 2004 |  83 | O | t             |    |             10-12
 165 | Beast                                    | 2018 |  94 | O | t             |  4 |             10--                                   ----------------------------75
 166 | Pope Francis - A Man of His Word         | 2018 |  89 | O | t             |  8 |             10--                                          --------------68
 167 | The Master                               | 1992 |  85 | O | t             |    |             10  - - ---       --     --- 38
 168 | Poor Little Rich Girl                    |      |     |   | t             |    |             10        19
 169 | Z Channel: A Magnificent Obsession       |      | 100 | o | t             |    |              11
 170 | Diary of a Mad Housewife                 | 1970 |  77 | o | t             |    |              11
 171 | Just Another Girl on the I.R.T.          |      |  64 | o | t             |    |              11
 172 | Shock and Awe                            |      |  36 | * | t             |    |              11
 173 | Cocktail                                 | 1988 |   5 | * | t             |    |              11
