  n  |                  title                   | year | rt  | _ | rt_is_matched | t  |                                           gantt_days                                            
 364 | Mountain                                 | 2018 |  85 | O | t             |    |                                     34-------             ---------63
 365 | Believer                                 | 2018 |  78 | o | t             |  2 |                                     34------ -----47
 366 | The Quest of Alain Ducasse               | 2018 |  69 | o | t             |    |                                     34------ -----47
 367 | A Kid Like Jake                          | 2018 |  52 | * | t             |    |                                     34------ ------------54
 368 | Always at The Carlyle                    |      |  59 | * | t             |    |                                     34------ -------------55
 369 | How to Talk to Girls at Parties          |      |  48 | * | t             |  2 |                                     34------  -----------------6060
 370 | Zama                                     | 2018 |  95 | O | t             |    |                                     34------  ----------- -----------------------------------89
 371 | Grace Jones: Bloodlight and Bami         | 2018 |  86 | O | t             |    |                                     34------                    -------    -73
 372 | Lean on Pete                             | 2018 |  92 | O | t             |  4 |                                     34------                                  --------------89
 373 | The Old Dark House                       | 1932 | 100 | o | t             |    |                                     34---  40
 374 | Mommie Dearest                           | 1981 |  56 | * | t             |    |                                      35
 375 | A Thousand Girls Like Me                 |      |     |   | f             |    |                                      35
 376 | The Met Summer Encore: Madama Butterfly  | 2018 |     |   | t             |  3 |                                      35
 377 | The Silence of Others                    |      |     |   | t             |    |                                      35
 378 | 7 Din Mohabbat In                        | 2018 |     |   | t             |    |                                      35----40
 379 | Restoring Tomorrow                       |      |     |   | t             |    |                                      35----40
 380 | How Long Will I Love U                   | 2018 |     |   | t             |    |                                      35----- ------------- ----6060
 381 | Pom Poko – Studio Ghibli Fest 2018       | 2018 |     |   | t             |  3 |                                      35 -38
 382 | Tropical Rainforest                      | 1992 |     |   | t             |    |                                      35                                68
 383 | McKellen: Playing the Part               | 2019 | 100 | o | t             |    |                                       36
 384 | Belle de Jour                            | 1967 |  96 | O | t             |    |                                       36
 385 | The Distant Barking of Dogs              |      |     |   | t             |    |                                       36
 386 | TransMilitary                            |      |     |   | t             |    |                                       36
 387 | Quatermass and the Pit                   | 1967 |  80 | o | t             |    |                                       36  39
 388 | Horror of Dracula                        | 1958 |  91 | o | t             |    |                                       36   -             54
 389 | RiffTrax Live: Space Mutiny              | 2018 |     |   | t             |  3 |                                       36    41
 390 | The Cleaners                             | 2018 |  86 | o | t             |    |                                        37
 391 | Facing the Dragon                        |      |     |   | f             |    |                                        37
 392 | Frankenstein Created Woman               | 1965 |  60 | o | t             |    |                                        37  40
 393 | The Curse of the Werewolf                | 1961 |  60 | o | t             |    |                                        37           49
 394 | The Brides of Dracula                    | 1960 |  73 | o | t             |    |                                        37               53
 395 | Fly Away Home                            | 1996 |  87 | o | t             |    |                                         38
 396 | Angkar                                   |      |     |   | f             |    |                                         38
 397 | Voices of the Sea                        |      |     |   | f             |    |                                         38
 398 | The Long Riders                          |      |  82 | o | t             |    |                                         3839
 399 | One Million Years B.C.                   |      |  67 | o | t             |    |                                         3839
 400 | Indiana Jones: Raiders of The Lost Ark   | 1981 |  95 | O | t             |    |                                         38- 41
 401 | Barry Lyndon                             | 1975 |  94 | O | t             |    |                                         38  --  -46
 402 | Die! Die! My Darling!                    |      |  44 | * | t             |    |                                         38   42
 403 | The Pirates of Blood River               |      |     |   | t             |    |                                         38    43
 404 | The Phantom of the Opera                 | 1962 |     |   | t             |    |                                         38           50
 405 | X the Unknown                            |      |  60 | o | t             |    |                                         38                55
 406 | Naila and the Uprising                   |      | 100 | o | t             |    |                                          39
 407 | The Devil Rides Out                      | 1968 |  94 | o | t             |    |                                          39
 408 | Fly Away                                 |      |  85 | o | t             |    |                                          39
 409 | Dracula, Prince of Darkness              |      |  78 | o | t             |    |                                          3940
 410 | Bringing Out the Dead                    | 1999 |  71 | O | t             |    |                                          3940
 411 | Casino                                   | 1996 |  80 | O | t             |    |                                          39-     -47
 412 | Maniac Cop 2                             | 1990 |  60 | o | t             |    |                                          39  42
 413 | All's Well                               |      |     |   | f             |    |                                          39      -  49
 414 | The Gorgon                               |      |  60 | o | t             |    |                                          39        48
 415 | Anote's Ark                              |      | 100 | o | t             |    |                                           40
 416 | Maniac Cop                               | 1988 |  50 | * | t             |    |                                            4142
 417 | Middleground                             | 2018 |     |   | t             |    |                                            41---45
 418 | 1945                                     | 2017 |  96 | O | t             |    |                                            41----46
 419 | Footsteps of My Father                   |      |     |   | f             |    |                                            41----46
 420 | Bernard and Huey                         |      |  76 | o | t             |    |                                            41-----47
 421 | The Valley                               | 2018 |  42 | * | t             |    |                                            41-----47
 422 | Kaala (Tamil)                            | 2018 |  50 | * | t             |  2 |                                            41-------49
 423 | Breath                                   | 2018 |  74 | o | t             |    |                                            41------------54
 424 | Action Point                             | 2018 |  20 | * | t             |  8 |                                            41------------54
 425 | Overboard                                | 2018 |  26 | * | t             |  6 |                                            41-----------------------------------------82
 426 | Monkey Business                          | 1931 |  94 | o | t             |    |                                            41- --46
 427 | Lolita                                   | 1962 |  95 | o | t             |    |                                            41 43
 428 | Eraserhead                               | 1982 |  91 | O | t             |    |                                            41                                      --     -88
 429 | Incredibles Double Feature               | 2018 |     |   | t             |  3 |                                             42
 430 | One Last Thing – A Chicken Soup for the  | 2018 |     |   | t             |    |                                             42
 431 | The Guru + Autobiography of a Princess   |      |     |   | t             |    |                                             42
 432 | To a More Perfect Union: U.S. v Windsor  | 2018 |     |   | t             |    |                                             42
 433 | Mountain                                 | 2016 |  85 | O | t             |    |                                             42----------53
 434 | The Doctor From India                    |      |     |   | t             |    |                                             42-----------54
 435 | LES PARENTS TERRIBLES (THE STORM WITHIN) | 1950 | 100 | o | t             |    |                                             42------------55
 436 | The Guardians                            | 2018 |  90 | o | t             |    |                                             42------------55
 437 | Dementia                                 | 1955 |     |   | t             |    |                                             42--  47
 438 | Scarface 35th Anniversary                | 2018 |     |   | t             |  2 |                                             42  45
 439 | Dream Big: Engineering Our World         | 2017 | 100 | o | t             |    |                                             42     -                   - -   - 76
 440 | Torch Song Trilogy                       |      |  72 | o | t             |    |                                              43
 441 | NT Live: Macbeth                         | 2018 |     |   | f             |  2 |                                              43 -                      68
 442 | Pariah                                   | 2011 |  94 | O | t             |    |                                               44
 443 | Hairspray                                | 2007 |  91 | O | t             |    |                                               44
 444 | Mr. & Mrs. Bridge                        | 1990 |  80 | o | t             |    |                                               44
 445 | The Golden Bowl                          | 2001 |  53 | * | t             |    |                                               44
 446 | Doctor Who: Genesis of the Daleks        | 2018 |     |   | t             |  3 |                                               44
 447 | Royal Opera House: Manon                 | 2018 |     |   | f             |    |                                               44
 448 | Jumanji Movie Event                      | 2018 |     |   | t             |  3 |                                               4445
 449 | Rasputin, the Mad Monk                   | 1966 |  43 | * | t             |    |                                               44 46
 450 | HAIKARA SAN: HERE COMES MISS MODERN      | 2018 |     |   | t             |    |                                               44 46
 451 | The Remains of the Day                   | 1993 |  97 | o | t             |    |                                                45
 452 | A Soldier's Daughter Never Cries         | 1998 |  77 | o | t             |    |                                                45
 453 | Hysteria                                 | 2012 |  57 | * | t             |    |                                                45
 454 | Bolshoi Ballet: Coppelia                 | 2018 |     |   | t             |  2 |                                                45
 455 | Who Framed Roger Rabbit                  | 1988 |  97 | O | t             |    |                                                4546
 456 | The Curse of the Mummy's Tomb            |      |     |   | t             |    |                                                4546
 457 | Do the Right Thing                       | 1989 |  93 | O | t             |    |                                                45-47
 458 | Close-Up                                 |      |     |   | t             |    |                                                45-47
 459 | The 12th Man                             |      |  83 | o | t             |    |                                                45--                           ---- -81
 460 | Ghost Stories                            | 2018 |  82 | O | t             |    |                                                45 -                  -----------------------89
 461 | The Fast and the Furious                 | 2001 |  53 | * | t             |    |                                                45  48
 462 | The Nanny                                |      |     |   | t             |    |                                                45  48
 463 | Heat and Dust                            | 1983 |  86 | o | t             |    |                                                 46
 464 | Le Divorce                               | 2003 |  37 | * | t             |    |                                                 46
 465 | Trans                                    | 2000 |     |   | f             |    |                                                 46
 466 | Cape Fear                                | 1962 | 100 | o | t             |    |                                                 46-     -54
 467 | RoboCop                                  | 1987 |  89 | O | t             |    |                                                 46-     -54
 468 | Pink Flamingos                           | 1997 |  80 | o | t             |    |                                                 46-     --    -6060
 469 | The Mummy                                | 1959 | 100 | o | t             |    |                                                 46      -54
 470 | Surviving Picasso                        | 1996 |  33 | * | t             |    |                                                  47
 471 | The Stranglers of Bombay                 |      |     |   | t             |    |                                                  47    52
 472 | Shakespeare Wallah                       | 1966 |  88 | o | t             |    |                                                  47     53
 473 | National Lampoon's Vacation              | 1983 |  93 | O | t             |    |                                                   48
 474 | The Seven Year Itch                      | 1955 |  87 | o | t             |    |                                                   48
 475 | Nossa Chape                              |      |  92 | o | t             |    |                                                   48-----54
 476 | Bhavesh Joshi Superhero                  | 2018 |  71 | o | t             |    |                                                   48-----54
 477 | The Texture of Falling                   |      |  20 | * | t             |    |                                                   48-----54
 478 | In the Footsteps of Gandhi               |      |     |   | f             |    |                                                   48-----54
 479 | Yadvi: The Dignified Princess            | 2017 |     |   | t             |    |                                                   48-----54
 480 | In Darkness                              | 2018 |  53 | * | t             |    |                                                   48-----------60
 481 | Filmworker                               |      |  95 | O | t             |    |                                                   48-----------6060
 482 | Chappaquiddick                           | 2018 |  80 | O | t             |  7 |                                                   48-----------------------------------------89
 483 | I Feel Pretty                            | 2018 |  32 | * | t             |  9 |                                                   48-----------------------------------------89
 484 | That Summer                              | 2018 |  89 | o | t             |    |                                                   48----- ----59
 485 | Revenge                                  | 2018 |  92 | O | t             |    |                                                   48----- --------------------74
 486 | Corridor of Mirrors                      |      |     |   | t             |    |                                                   48---  54
 487 | Fate/stay night [Heaven’s Feel] THE MOVI | 2018 |     |   | t             |  2 |                                                   48 50
 488 | The Evil of Frankenstein                 | 1964 |  50 | * | t             |    |                                                   48   52
 489 | The Two Faces of Dr. Jekyll              |      |     |   | t             |    |                                                    4950
 490 | These Are the Damned                     | 1963 |  86 | o | t             |    |                                                    49 51
 491 | The Producers 50th Anniversary           | 1968 |  91 | O | t             |  3 |                                                    49  52
 492 | Our Song                                 | 2001 |  91 | O | t             |    |                                                     50
 493 | Love Means Zero                          |      |     |   | t             |    |                                                     50
 494 | California Suite                         | 1979 |  55 | * | t             |    |                                                     5051
 495 | Sherlock Gnomes                          | 2018 |  29 | * | t             |  3 |                                                     50------- -------------------------------89
 496 | The Revenge of Frankenstein              | 1958 |  92 | o | t             |    |                                                     50  53
 497 | Girls Town                               | 1996 |  88 | o | t             |    |                                                      51
 498 | The Electric Horseman                    | 1979 |  68 | o | t             |    |                                                      51
 499 | Ten Seconds to Hell                      |      |     |   | t             |    |                                                      51
 500 | Yesterday's Enemy                        |      |     |   | f             |    |                                                      51 53
 501 | Best F(r)iends Volume Two                | 2018 |     |   | t             |  3 |                                                      51  54
 502 | The Hound of the Baskervilles            | 1959 |  94 | o | t             |    |                                                       52
 503 | Wayne's World 2                          | 1993 |  60 | o | t             |    |                                                       52
 504 | Cash on Demand                           |      |     |   | t             |    |                                                       52
 505 | One Vote                                 |      |     |   | f             |    |                                                       52
 506 | The Godfather                            | 1972 |  98 | O | t             |  2 |                                                       5253
 507 | Never Take Sweets From a Stranger        |      |     |   | t             |    |                                                       52 54
 508 | The Camp on Blood Island                 |      |     |   | t             |    |                                                        53
 509 | The Satellite Girl and Milk Cow          | 2014 |     |   | t             |    |                                                        53
 510 | Wayne's World                            | 1992 |  86 | O | t             |    |                                                        5354
 511 | Starship Troopers                        | 1997 |  63 | o | t             |  2 |                                                        5354
 512 | The Quatermass Xperiment                 |      |  93 | o | t             |    |                                                          55
 513 | Queen Margot                             | 1994 |  81 | o | t             |    |                                                          55
 514 | Andy Irons: Kissed by God                | 2018 |     |   | t             |  2 |                                                          55
 515 | The Abominable Snowman of the Himalayas  |      |     |   | t             |    |                                                          55
 516 | The Misandrists                          | 2018 |  69 | o | t             |    |                                                          55----6060
 517 | Future World                             | 2018 |   0 | * | t             |    |                                                          55----6060
 518 | Love, Simon                              | 2018 |  91 | O | t             |  3 |                                                          55-------------------------- -      89
 519 | 102 Not Out                              | 2018 |  71 | o | t             |  2 |                                                          55-- -----------------------81
 520 | Sammy Davis, Jr.: I've Gotta Be Me       |      | 100 | o | t             |    |                                                           56
 521 | A Chance in the World - Premiere         | 2018 |     |   | t             |  2 |                                                           56
 522 | Dolphins                                 | 1999 |     |   | t             |    |                                                           56
 523 | Parmanu: The Story of Pokhran            | 2018 |  50 | * | t             |    |                                                           56---6060
 524 | Ready Player One                         | 2018 |  73 | O | t             |  8 |                                                           56---------------------------------89
 525 | Feral                                    | 2018 |  38 | * | t             |    |                                                           56- -6060
 526 | Rampage                                  | 2018 |  52 | * | t             |  7 |                                                           56- -------------------------------89
 527 | Film Club With Marshall Fine             |      |     |   | f             |    |                                                           56            69
 528 | The Atomic Cafe                          |      |  94 | o | t             |    |                                                            57
 529 | Blazing Saddles                          | 1974 |  90 | O | t             |    |                                                             58-6060
 530 | A Clockwork Orange                       | 1971 |  89 | O | t             |    |                                                              59--     -67
 531 | In Darkness                              | 2012 |  88 | O | t             |    |                                                               60
 532 | That Summer                              |      |  89 | o | t             |    |                                                               60-------67
 533 | A Jihad for Love                         |      |  78 | o | t             |    |                                                                61
 534 | Opening Night Fan Event - Solo: A Star W | 2018 |  71 | o | t             |  4 |                                                                61
 535 | Sollers Point                            |      |  86 | o | t             |    |                                                                61-63
 536 | Saving Brinton                           |      |  91 | o | t             |    |                                                                61-----67
 537 | Carter & June                            | 2018 |  13 | * | t             |    |                                                                61-----67
 538 | Dark Crimes                              |      |   0 | * | t             |    |                                                                61-----67
 539 | Nothing to Lose                          | 2018 |     |   | t             |  3 |                                                                61-------------75
 540 | Call Me by Your Name                     | 2018 |  95 | O | t             |    |                                                                61------------------80
 541 | Beirut                                   | 2018 |  78 | O | t             |  6 |                                                                61---------------------------89
 542 | Blockers                                 | 2018 |  83 | O | t             |  7 |                                                                61------ --------------------89
 543 | Strangers on the Earth                   |      |  83 | o | t             |    |                                                                61---- -------------80
 544 | Born to Be Wild                          | 2011 |     |   | t             |    |                                                                61                          88
 545 | Film Club                                |      |     |   | f             |    |                                                                 62
 546 | Champion                                 | 2018 | 100 | o | t             |    |                                                                 62----67
 547 | Blumhouse's Truth or Dare                | 2018 |  14 | * | t             |  7 |                                                                 62--------------------------89
 548 | Porco Rosso – Studio Ghibli Fest 2018    | 2018 |     |   | t             |  2 |                                                                 62 -65
 549 | The Fourth Estate                        |      | 100 | o | t             |    |                                                                  63
 550 | Pierrot le Fou                           | 1969 |  85 | O | t             |    |                                                                  63
 551 | GODSPEED - The Race Across America       | 2018 |     |   | t             |  2 |                                                                  63
 552 | All That Jazz                            | 1979 |  86 | o | t             |    |                                                                   64
 553 | Fame                                     | 2009 |  24 | * | t             |    |                                                                   64
 554 | Royal Opera House: Macbeth               | 2018 |     |   | f             |    |                                                                   64
 555 | The King of Comedy                       | 1983 |  90 | O | t             |    |                                                                   64 -67
 556 | Privilege                                |      |  50 | * | t             |    |                                                                    65-67
 557 | The Royal Wedding                        | 2018 |     |   | t             |    |                                                                     66
 558 | Pulp Fiction                             | 1994 |  94 | O | t             |    |                                                                     66-     -74
 559 | Gremlins 2: The New Batch                | 1990 |  69 | o | t             |    |                                                                     66-     --     -81
 560 | Coral Reef Adventure                     | 2003 |  91 | o | t             |    |                                                                      67             81
 561 | Salaam Bombay!                           | 1988 |  93 | o | t             |    |                                                                       68
 562 | The Escape                               | 2018 |  84 | o | t             |    |                                                                       68
 563 | Death Wish                               | 2018 |  18 | * | t             |    |                                                                       68
 564 | Amazon Adventure                         |      |     |   | t             |    |                                                                       68
 565 | Deadpool's Double Feature                | 2018 |     |   | t             |  7 |                                                                       68
 566 | The Snowman Trek                         | 2018 |     |   | t             |  2 |                                                                       68
 567 | What Haunts Us                           |      | 100 | o | t             |    |                                                                       68-----74
 568 | Class Rank                               | 2018 |  83 | o | t             |    |                                                                       68-----74
 569 | Lu Over the Wall                         | 2018 |  76 | o | t             |  2 |                                                                       68-----74
 570 | Anything                                 | 2018 |  60 | o | t             |    |                                                                       68-----74
 571 | Racer and the Jailbird                   | 2018 |  33 | * | t             |    |                                                                       68-----74
 572 | Terminal                                 | 2018 |  23 | * | t             |    |                                                                       68-----74
 573 | Born Guilty                              | 2018 |     |   | t             |    |                                                                       68-----74
 574 | I Am Your Mom                            | 2018 |     |   | t             |    |                                                                       68-----74
 575 | The Last Horsemen of New York            |      |     |   | t             |    |                                                                       68-----74
 576 | The Desert Bride                         | 2018 |  83 | o | t             |    |                                                                       68------------81
 577 | Bad Samaritan                            | 2018 |  52 | * | t             |  7 |                                                                       68-------------82
 578 | Super Troopers 2                         | 2018 |  31 | * | t             |  7 |                                                                       68--------------------89
 579 | Coldwater                                | 2014 |  60 | o | t             |    |                                                                       68------       ------88
 580 | Itzhak                                   | 2018 |  89 | o | t             |    |                                                                       68------        83
 581 | The Iron Triangle                        |      |     |   | t             |    |                                                                       68 - 72
 582 | The Escape                               |      |  84 | o | t             |    |                                                                        69----74
 583 | Charlie vs. Goliath                      |      |     |   | t             |    |                                                                        69 71
 584 | Sunset Boulevard                         | 1950 |  98 | O | t             |  2 |                                                                        69  72
 585 | American Dream: Detroit                  | 2018 |     |   | t             |  2 |                                                                         70
 586 | Naz & Maalik                             | 2016 |  78 | o | t             |    |                                                                          71
 587 | No Man's Land                            | 2001 |  93 | O | t             |    |                                                                           72
 588 | Titanic                                  | 1997 |  88 | O | t             |    |                                                                           72  75
 589 | After Hours                              | 1985 |  88 | O | t             |    |                                                                            7374
 590 | Ferris Bueller's Day Off                 | 1986 |  79 | O | t             |    |                                                                            7374
 591 | Raging Bull                              | 1980 |  95 | O | t             |    |                                                                            73-     -81
 592 | Puffs: Filmed Live Off Broadway          | 2018 |     |   | t             |  2 |                                                                            73  76
 593 | DIGIMON ADVENTURE tri.: Coexistence      | 2018 |     |   | t             |  2 |                                                                              75
 594 | Rogers Park                              | 2018 | 100 | o | t             |    |                                                                              75----80
 595 | The Cleanse                              | 2018 |  80 | o | t             |    |                                                                              75----80
 596 | The Con is On                            | 2018 |   0 | * | t             |    |                                                                              75----80
 597 | Everything Else                          |      |     |   | t             |    |                                                                              75----80
 598 | Edward II                                | 1992 | 100 | o | t             |    |                                                                              75-----81
 599 | Lives Well Lived                         |      | 100 | o | t             |    |                                                                              75-----81
 600 | Oh Lucy!                                 | 2018 | 100 | O | t             |    |                                                                              75-----81
 601 | Cold Water                               | 1994 |  60 | o | t             |    |                                                                              75-----81
 602 | Ismael's Ghosts                          | 2018 |  53 | o | t             |    |                                                                              75-----81
 603 | A or B                                   | 2018 |     |   | t             |    |                                                                              75-----81
 604 | Edward II                                | 1992 |     |   | t             |    |                                                                              75-----81
 605 | The Trough                               | 2018 |     |   | t             |    |                                                                              75-----81
 606 | Traffik                                  | 2018 |  23 | * | t             |  4 |                                                                              75-------------89
 607 | Love After Love                          | 2018 |  88 | o | t             |    |                                                                              75------       89
 608 | Deep Sea                                 | 2006 |  91 | o | t             |    |                                                                               7677
 609 | Hector "El Father" Conoceras la Verdad   | 2018 |     |   | t             |    |                                                                               76--------85
 610 | Tyler Perry's Acrimony                   | 2018 |  22 | * | t             |  3 |                                                                               76------------89
 611 | I Can Only Imagine                       | 2018 |  68 | o | t             |    |                                                                               76--------   -89
 612 | The Boxcar Children – Surprise Island    | 2018 |     |   | t             |  2 |                                                                                77
 613 | Tampopo                                  | 1986 | 100 | O | t             |    |                                                                                 78--81
 614 | Willy Wonka and the Chocolate Factory    | 1971 |  91 | o | t             |  2 |                                                                                  7980
 615 | Bungo Stray Dogs: Dead Apple             | 2018 |     |   | t             |  2 |                                                                                  79-  83
 616 | Batman                                   | 1989 |  72 | o | t             |  2 |                                                                                   8081
 617 | The Endless                              | 2018 |  97 | O | t             |    |                                                                                   80-     -88
 618 | Flower                                   | 2018 |  51 | * | t             |    |                                                                                     82
 619 | Annie Hall                               | 1977 |  97 | O | t             |    |                                                                                     82-----88
 620 | Kings                                    | 2018 |  12 | * | t             |    |                                                                                     82-----88
 621 | Da One That Ghost Away                   | 2018 |     |   | t             |    |                                                                                     82-----88
 622 | Sgt. Stubby: An American Hero            | 2018 |  82 | o | t             |  3 |                                                                                     82------89
 623 | Labyrinth (1986) Event                   | 1986 |  68 | o | t             |  3 |                                                                                     82-- 86
 624 | October                                  | 2018 |  86 | o | t             |    |                                                                                     82--   -89
 625 | Like Arrows                              | 2018 |     |   | t             |  2 |                                                                                     82 84
 626 | Secret Ocean                             |      |     |   | f             |    |                                                                                      83
 627 | The Metropolitan Opera: Cendrillon Encor | 2018 |     |   | t             |  2 |                                                                                      83
 628 | The Metropolitan Opera: Cendrillon       | 2018 |     |   | t             |    |                                                                                          87
 629 | Aliens                                   | 1986 |  98 | O | t             |    |                                                                                          8788
 630 | A Taxi Driver                            | 2017 |  96 | o | t             |    |                                                                                          8788
 631 | After Auschwitz                          | 2018 | 100 | o | t             |    |                                                                                            89
 632 | Borg vs McEnroe                          | 2018 |  83 | O | t             |    |                                                                                            89
 633 | Final Portrait                           | 2018 |  74 | O | t             |    |                                                                                            89
 634 | Little Pink House                        |      |  74 | o | t             |    |                                                                                            89
 635 | Finding Your Feet                        | 2018 |  70 | o | t             |    |                                                                                            89
 636 | Beyond the Clouds                        | 2018 |  63 | o | t             |    |                                                                                            89
 637 | An Evening With Brent Green              |      |     |   | f             |    |                                                                                            89
 638 | Avengers: Infinity War Opening Night Fan | 2018 |     |   | t             |  2 |                                                                                            89
 639 | Bharat Ane Nenu                          |      |     |   | t             |    |                                                                                            89
 640 | Cake                                     | 2018 |     |   | t             |    |                                                                                            89
 641 | Dude's Manual                            | 2018 |     |   | t             |    |                                                                                            89
(641 rows)

